Prey ,1196, Predator ,114, Grass ,425
Prey ,1170, Predator ,119, Grass ,427
Prey ,1155, Predator ,121, Grass ,432
Prey ,1149, Predator ,123, Grass ,429
Prey ,1149, Predator ,121, Grass ,427
Prey ,1149, Predator ,125, Grass ,430
Prey ,1162, Predator ,128, Grass ,430
Prey ,1173, Predator ,126, Grass ,430
Prey ,1161, Predator ,126, Grass ,429
Prey ,1157, Predator ,131, Grass ,430
Prey ,1167, Predator ,135, Grass ,436
Prey ,1163, Predator ,135, Grass ,435
Prey ,1151, Predator ,140, Grass ,436
Prey ,1141, Predator ,142, Grass ,426
Prey ,1136, Predator ,146, Grass ,430
Prey ,1111, Predator ,147, Grass ,427
Prey ,1096, Predator ,150, Grass ,426
Prey ,1094, Predator ,153, Grass ,421
Prey ,1097, Predator ,152, Grass ,420
Prey ,1103, Predator ,151, Grass ,435
Prey ,1079, Predator ,156, Grass ,440
Prey ,1065, Predator ,156, Grass ,436
Prey ,1038, Predator ,157, Grass ,434
Prey ,1021, Predator ,162, Grass ,438
Prey ,1008, Predator ,163, Grass ,433
Prey ,1000, Predator ,162, Grass ,433
Prey ,1001, Predator ,160, Grass ,420
Prey ,983, Predator ,165, Grass ,418
Prey ,965, Predator ,172, Grass ,425
Prey ,951, Predator ,173, Grass ,422
Prey ,926, Predator ,179, Grass ,422
Prey ,915, Predator ,182, Grass ,427
Prey ,906, Predator ,185, Grass ,435
Prey ,898, Predator ,187, Grass ,436
Prey ,880, Predator ,191, Grass ,436
Prey ,867, Predator ,190, Grass ,434
Prey ,882, Predator ,188, Grass ,445
Prey ,872, Predator ,186, Grass ,441
Prey ,886, Predator ,184, Grass ,434
Prey ,871, Predator ,187, Grass ,436
Prey ,868, Predator ,193, Grass ,435
Prey ,849, Predator ,193, Grass ,435
Prey ,845, Predator ,198, Grass ,449
Prey ,842, Predator ,201, Grass ,455
Prey ,834, Predator ,204, Grass ,460
Prey ,825, Predator ,205, Grass ,467
Prey ,805, Predator ,209, Grass ,479
Prey ,794, Predator ,206, Grass ,482
Prey ,799, Predator ,205, Grass ,489
Prey ,810, Predator ,212, Grass ,493
Prey ,801, Predator ,211, Grass ,502
Prey ,804, Predator ,220, Grass ,508
Prey ,794, Predator ,222, Grass ,517
Prey ,770, Predator ,228, Grass ,517
Prey ,768, Predator ,225, Grass ,524
Prey ,761, Predator ,237, Grass ,521
Prey ,774, Predator ,239, Grass ,518
Prey ,781, Predator ,241, Grass ,527
Prey ,787, Predator ,247, Grass ,537
Prey ,785, Predator ,255, Grass ,548
Prey ,774, Predator ,254, Grass ,554
Prey ,769, Predator ,257, Grass ,565
Prey ,769, Predator ,264, Grass ,581
Prey ,775, Predator ,268, Grass ,594
Prey ,796, Predator ,280, Grass ,598
Prey ,786, Predator ,282, Grass ,601
Prey ,786, Predator ,280, Grass ,611
Prey ,780, Predator ,283, Grass ,614
Prey ,781, Predator ,289, Grass ,612
Prey ,756, Predator ,296, Grass ,617
Prey ,743, Predator ,296, Grass ,622
Prey ,742, Predator ,292, Grass ,622
Prey ,742, Predator ,293, Grass ,626
Prey ,758, Predator ,296, Grass ,628
Prey ,755, Predator ,295, Grass ,634
Prey ,747, Predator ,295, Grass ,632
Prey ,715, Predator ,285, Grass ,635
Prey ,697, Predator ,289, Grass ,635
Prey ,675, Predator ,294, Grass ,649
Prey ,675, Predator ,290, Grass ,652
Prey ,693, Predator ,293, Grass ,657
Prey ,701, Predator ,300, Grass ,657
Prey ,704, Predator ,308, Grass ,658
Prey ,700, Predator ,316, Grass ,669
Prey ,710, Predator ,314, Grass ,679
Prey ,721, Predator ,312, Grass ,676
Prey ,702, Predator ,315, Grass ,668
Prey ,693, Predator ,316, Grass ,671
Prey ,693, Predator ,317, Grass ,672
Prey ,677, Predator ,317, Grass ,674
Prey ,679, Predator ,321, Grass ,687
Prey ,676, Predator ,326, Grass ,697
Prey ,673, Predator ,325, Grass ,700
Prey ,693, Predator ,324, Grass ,707
Prey ,665, Predator ,324, Grass ,713
Prey ,647, Predator ,328, Grass ,709
Prey ,662, Predator ,339, Grass ,718
Prey ,674, Predator ,343, Grass ,719
Prey ,673, Predator ,334, Grass ,715
Prey ,674, Predator ,333, Grass ,729
Prey ,672, Predator ,335, Grass ,725
Prey ,670, Predator ,333, Grass ,722
Prey ,665, Predator ,335, Grass ,718
Prey ,651, Predator ,334, Grass ,724
Prey ,654, Predator ,336, Grass ,729
Prey ,660, Predator ,335, Grass ,728
Prey ,637, Predator ,341, Grass ,722
Prey ,642, Predator ,342, Grass ,721
Prey ,634, Predator ,342, Grass ,722
Prey ,635, Predator ,343, Grass ,721
Prey ,627, Predator ,349, Grass ,718
Prey ,630, Predator ,352, Grass ,721
Prey ,626, Predator ,362, Grass ,715
Prey ,625, Predator ,366, Grass ,724
Prey ,613, Predator ,372, Grass ,718
Prey ,601, Predator ,380, Grass ,719
Prey ,603, Predator ,376, Grass ,715
Prey ,604, Predator ,373, Grass ,723
Prey ,613, Predator ,369, Grass ,724
Prey ,613, Predator ,374, Grass ,721
Prey ,609, Predator ,372, Grass ,730
Prey ,605, Predator ,378, Grass ,729
Prey ,627, Predator ,383, Grass ,730
Prey ,620, Predator ,395, Grass ,723
Prey ,626, Predator ,398, Grass ,727
Prey ,638, Predator ,394, Grass ,733
Prey ,634, Predator ,401, Grass ,731
Prey ,629, Predator ,399, Grass ,731
Prey ,625, Predator ,406, Grass ,726
Prey ,625, Predator ,398, Grass ,733
Prey ,608, Predator ,397, Grass ,725
Prey ,596, Predator ,403, Grass ,714
Prey ,606, Predator ,408, Grass ,715
Prey ,603, Predator ,410, Grass ,721
Prey ,595, Predator ,403, Grass ,727
Prey ,604, Predator ,394, Grass ,730
Prey ,614, Predator ,395, Grass ,725
Prey ,598, Predator ,401, Grass ,735
Prey ,593, Predator ,403, Grass ,744
Prey ,591, Predator ,409, Grass ,749
Prey ,598, Predator ,408, Grass ,743
Prey ,601, Predator ,413, Grass ,738
Prey ,595, Predator ,410, Grass ,744
Prey ,592, Predator ,416, Grass ,740
Prey ,599, Predator ,423, Grass ,737
Prey ,597, Predator ,430, Grass ,736
Prey ,604, Predator ,424, Grass ,742
Prey ,601, Predator ,424, Grass ,751
Prey ,603, Predator ,419, Grass ,747
Prey ,607, Predator ,413, Grass ,748
Prey ,596, Predator ,397, Grass ,743
Prey ,596, Predator ,397, Grass ,751
Prey ,592, Predator ,392, Grass ,744
Prey ,579, Predator ,397, Grass ,746
Prey ,579, Predator ,394, Grass ,740
Prey ,582, Predator ,392, Grass ,752
Prey ,575, Predator ,399, Grass ,749
Prey ,569, Predator ,398, Grass ,745
Prey ,568, Predator ,400, Grass ,743
Prey ,563, Predator ,399, Grass ,742
Prey ,565, Predator ,392, Grass ,749
Prey ,559, Predator ,395, Grass ,740
Prey ,559, Predator ,371, Grass ,741
Prey ,559, Predator ,372, Grass ,740
Prey ,562, Predator ,376, Grass ,749
Prey ,565, Predator ,384, Grass ,751
Prey ,567, Predator ,385, Grass ,751
Prey ,567, Predator ,388, Grass ,748
Prey ,559, Predator ,394, Grass ,754
Prey ,567, Predator ,403, Grass ,755
Prey ,571, Predator ,404, Grass ,749
Prey ,572, Predator ,406, Grass ,751
Prey ,570, Predator ,416, Grass ,754
Prey ,567, Predator ,413, Grass ,754
Prey ,575, Predator ,407, Grass ,754
Prey ,589, Predator ,398, Grass ,762
Prey ,604, Predator ,395, Grass ,761
Prey ,605, Predator ,393, Grass ,758
Prey ,598, Predator ,397, Grass ,758
Prey ,599, Predator ,395, Grass ,753
Prey ,599, Predator ,392, Grass ,746
Prey ,596, Predator ,391, Grass ,750
Prey ,578, Predator ,395, Grass ,750
Prey ,590, Predator ,394, Grass ,747
Prey ,599, Predator ,397, Grass ,744
Prey ,597, Predator ,395, Grass ,754
Prey ,593, Predator ,386, Grass ,763
Prey ,607, Predator ,383, Grass ,771
Prey ,593, Predator ,389, Grass ,765
Prey ,593, Predator ,382, Grass ,765
Prey ,595, Predator ,382, Grass ,761
Prey ,595, Predator ,385, Grass ,758
Prey ,592, Predator ,384, Grass ,756
Prey ,607, Predator ,383, Grass ,747
Prey ,608, Predator ,381, Grass ,741
Prey ,588, Predator ,394, Grass ,741
Prey ,591, Predator ,403, Grass ,738
Prey ,585, Predator ,399, Grass ,744
Prey ,573, Predator ,382, Grass ,740
Prey ,586, Predator ,377, Grass ,738
Prey ,588, Predator ,385, Grass ,737
Prey ,588, Predator ,395, Grass ,733
Prey ,572, Predator ,379, Grass ,739
Prey ,567, Predator ,380, Grass ,740
Prey ,575, Predator ,383, Grass ,738
Prey ,574, Predator ,382, Grass ,737
Prey ,575, Predator ,385, Grass ,746
Prey ,588, Predator ,389, Grass ,753
Prey ,597, Predator ,398, Grass ,751
Prey ,602, Predator ,403, Grass ,744
Prey ,592, Predator ,395, Grass ,750
Prey ,597, Predator ,394, Grass ,744
Prey ,598, Predator ,399, Grass ,752
Prey ,586, Predator ,397, Grass ,751
Prey ,585, Predator ,393, Grass ,752
Prey ,576, Predator ,398, Grass ,752
Prey ,568, Predator ,411, Grass ,758
Prey ,559, Predator ,412, Grass ,745
Prey ,556, Predator ,414, Grass ,749
Prey ,567, Predator ,407, Grass ,751
Prey ,574, Predator ,414, Grass ,743
Prey ,569, Predator ,417, Grass ,744
Prey ,561, Predator ,422, Grass ,746
Prey ,561, Predator ,419, Grass ,752
Prey ,553, Predator ,419, Grass ,749
Prey ,546, Predator ,424, Grass ,756
Prey ,539, Predator ,422, Grass ,772
Prey ,530, Predator ,419, Grass ,776
Prey ,530, Predator ,422, Grass ,777
Prey ,525, Predator ,419, Grass ,770
Prey ,521, Predator ,420, Grass ,780
Prey ,527, Predator ,413, Grass ,786
Prey ,529, Predator ,426, Grass ,780
Prey ,545, Predator ,435, Grass ,781
Prey ,555, Predator ,447, Grass ,782
Prey ,560, Predator ,445, Grass ,780
Prey ,557, Predator ,446, Grass ,780
Prey ,546, Predator ,437, Grass ,777
Prey ,531, Predator ,436, Grass ,772
Prey ,536, Predator ,437, Grass ,776
Prey ,531, Predator ,434, Grass ,789
Prey ,529, Predator ,443, Grass ,797
Prey ,527, Predator ,440, Grass ,794
Prey ,524, Predator ,438, Grass ,798
Prey ,513, Predator ,432, Grass ,799
Prey ,515, Predator ,431, Grass ,800
Prey ,514, Predator ,432, Grass ,794
Prey ,502, Predator ,427, Grass ,795
Prey ,497, Predator ,429, Grass ,805
Prey ,502, Predator ,444, Grass ,813
Prey ,504, Predator ,441, Grass ,816
Prey ,499, Predator ,444, Grass ,808
Prey ,499, Predator ,440, Grass ,813
Prey ,506, Predator ,443, Grass ,820
Prey ,508, Predator ,450, Grass ,823
Prey ,511, Predator ,447, Grass ,819
Prey ,513, Predator ,444, Grass ,831
Prey ,521, Predator ,449, Grass ,831
Prey ,518, Predator ,452, Grass ,825
Prey ,530, Predator ,443, Grass ,827
Prey ,539, Predator ,440, Grass ,825
Prey ,540, Predator ,435, Grass ,831
Prey ,543, Predator ,443, Grass ,829
Prey ,530, Predator ,446, Grass ,827
Prey ,530, Predator ,437, Grass ,828
Prey ,536, Predator ,428, Grass ,826
Prey ,507, Predator ,437, Grass ,837
Prey ,490, Predator ,445, Grass ,841
Prey ,488, Predator ,434, Grass ,845
Prey ,496, Predator ,429, Grass ,846
Prey ,489, Predator ,426, Grass ,853
Prey ,474, Predator ,432, Grass ,852
Prey ,468, Predator ,440, Grass ,857
Prey ,461, Predator ,431, Grass ,856
Prey ,449, Predator ,430, Grass ,856
Prey ,444, Predator ,429, Grass ,857
Prey ,453, Predator ,434, Grass ,863
Prey ,460, Predator ,421, Grass ,867
Prey ,466, Predator ,418, Grass ,871
Prey ,473, Predator ,421, Grass ,875
Prey ,460, Predator ,423, Grass ,886
Prey ,447, Predator ,415, Grass ,889
Prey ,460, Predator ,425, Grass ,886
Prey ,459, Predator ,436, Grass ,886
Prey ,467, Predator ,445, Grass ,888
Prey ,476, Predator ,439, Grass ,893
Prey ,479, Predator ,424, Grass ,897
Prey ,484, Predator ,429, Grass ,897
Prey ,489, Predator ,426, Grass ,895
Prey ,490, Predator ,431, Grass ,898
Prey ,500, Predator ,432, Grass ,900
Prey ,495, Predator ,437, Grass ,905
Prey ,496, Predator ,433, Grass ,902
